time,current,mrpm,T
344,80,160,2133.87749
345,80,160,2134.306815
346,80,160,2134.731868
347,80,160,2135.152692
348,80,160,2135.569329
349,80,160,2135.98182
350,80,160,2136.390207
351,80,160,2136.79453
352,80,160,2137.194831
353,80,160,2137.591148
354,80,160,2137.983521
355,80,160,2138.371991
356,80,160,2138.756595
357,80,160,2139.137373
358,80,160,2139.514361
359,80,160,2139.887599
360,80,160,2140.257122
361,80,160,2140.622969
362,80,160,2140.985176
363,80,160,2141.343778
364,80,160,2141.698813
365,80,160,2142.050314
366,80,160,2142.398319
367,80,160,2142.74286
368,80,160,2143.083974
369,80,160,2143.421693
370,80,160,2143.756052
371,80,160,2144.087083
372,80,160,2144.414822
373,80,160,2144.739299
374,80,160,2145.060547
375,80,160,2145.378599
376,80,160,2145.693486
377,80,160,2146.00524
378,80,160,2146.313892
379,80,160,2146.619473
380,80,160,2146.922014
381,80,160,2147.221544
382,80,160,2147.518094
383,80,160,2147.811692
384,80,160,2148.10237
385,80,160,2148.390155
386,80,160,2148.675077
387,80,160,2148.957164
388,80,160,2149.236444
389,80,160,2149.512945
390,80,160,2149.786695
391,80,160,2150.057721
392,80,160,2150.32605
393,80,160,2150.591709
394,80,160,2150.854725
395,80,160,2151.115124
396,80,160,2151.372932
397,80,160,2151.628175
398,80,160,2151.880878
399,80,160,2152.131066
400,80,160,2152.378766
401,80,160,2152.624
402,80,160,2152.866794
403,80,160,2153.107173
404,80,160,2153.34516
405,80,160,2153.580778
406,80,160,2153.814052
407,80,160,2154.045006
408,80,160,2154.273661
409,80,160,2154.500041
410,80,160,2154.724168
411,80,160,2154.946065
412,80,160,2155.165755
413,80,160,2155.383258
414,80,160,2155.598598
415,80,160,2155.811794
416,80,160,2156.022869
417,80,160,2156.231844
418,80,160,2156.43874
419,80,160,2156.643577
420,80,160,2156.846376
421,80,160,2157.047157
422,80,160,2157.24594
423,80,160,2157.442745
424,80,160,2157.637592
425,80,160,2157.830501
426,80,160,2158.02149
427,80,160,2158.210578
428,80,160,2158.397785
429,80,160,2158.583129
430,80,160,2158.766629
431,80,160,2158.948303
432,80,160,2159.12817
433,80,160,2159.306247
434,80,160,2159.482551
435,80,160,2159.657102
436,80,160,2159.829916
437,80,160,2160.00101
438,80,160,2160.170402
439,80,160,2160.338108
440,80,160,2160.504146
441,80,160,2160.668532
442,80,160,2160.831282
443,80,160,2160.992412
444,80,160,2161.151939
445,80,160,2161.309879
446,80,160,2161.466248
447,80,160,2161.62106
448,80,160,2161.774332
449,80,160,2161.926079
450,80,160,2162.076316
451,80,160,2162.225059
452,80,160,2162.372321
453,80,160,2162.518118
454,80,160,2162.662464
455,80,160,2162.805374
456,80,160,2162.946862
457,80,160,2163.086942
458,80,160,2163.225628
459,80,160,2163.362935
460,80,160,2163.498875
461,80,160,2163.633462
462,80,160,2163.766711
463,80,160,2163.898633
464,80,160,2164.029243
465,80,160,2164.158553
466,80,160,2164.286577
467,80,160,2164.413327
468,80,160,2164.538815
469,80,160,2164.663055
470,80,160,2164.786059
471,80,160,2164.907839
472,80,160,2165.028407
473,80,160,2165.147775
474,80,160,2165.265956
475,80,160,2165.382961
476,80,160,2165.498802
477,80,160,2165.613489
478,80,160,2165.727036
479,80,160,2165.839453
480,80,160,2165.950752
481,80,160,2166.060943
482,80,160,2166.170037
483,80,160,2166.278046
484,80,160,2166.38498
485,80,160,2166.490851
486,80,160,2166.595668
487,80,160,2166.699441
488,80,160,2166.802183
489,80,160,2166.903902
490,80,160,2167.004609
491,80,160,2167.104314
492,80,160,2167.203027
493,80,160,2167.300757
494,80,160,2167.397515
495,80,160,2167.493311
496,80,160,2167.588153
497,80,160,2167.682051
498,80,160,2167.775016
499,80,160,2167.867055
500,80,160,2167.958178
501,80,160,2168.048395
502,80,160,2168.137714
503,80,160,2168.226144
504,80,160,2168.313695
505,80,160,2168.400374
506,80,160,2168.486191
507,80,160,2168.571154
508,80,160,2168.655271
509,80,160,2168.738552
510,80,160,2168.821004
511,80,160,2168.902635
512,80,160,2168.983454
513,80,160,2169.063469
514,80,160,2169.142688
515,80,160,2169.221119
516,80,160,2169.298769
517,80,160,2169.375647
518,80,160,2169.45176
519,80,160,2169.527115
520,80,160,2169.60172
521,80,160,2169.675584
522,80,160,2169.748712
523,80,160,2169.821112
524,80,160,2169.892793
525,80,160,2169.96376
526,80,160,2170.03402
527,80,160,2170.103582
528,80,160,2170.172452
529,80,160,2170.240636
530,80,160,2170.308142
531,80,160,2170.374976
532,80,160,2170.441145
533,80,160,2170.506656
534,80,160,2170.571515
535,80,160,2170.635729
536,80,160,2170.699303
537,80,160,2170.762245
538,80,160,2170.824561
539,80,160,2170.886257
540,80,160,2170.947339
541,80,160,2171.007813
542,80,160,2171.067685
543,80,160,2171.126962
544,80,160,2171.185649
545,80,160,2171.243751
546,80,160,2171.301276
547,80,160,2171.358229
548,80,160,2171.414614
549,80,160,2171.470439
550,80,160,2171.525708
551,80,160,2171.580427
552,80,160,2171.634602
553,80,160,2171.688238
554,80,160,2171.74134
555,80,160,2171.793913
556,80,160,2171.845964
557,80,160,2171.897496
558,80,160,2171.948516
559,80,160,2171.999028
560,80,160,2172.049038
561,80,160,2172.09855
562,80,160,2172.147569
563,80,160,2172.196101
564,80,160,2172.24415
565,80,160,2172.29172
566,80,160,2172.338817
567,80,160,2172.385446
568,80,160,2172.431611
569,80,160,2172.477316
570,80,160,2172.522567
571,80,160,2172.567367
572,80,160,2172.611721
573,80,160,2172.655635
574,80,160,2172.699111
575,80,160,2172.742154
576,80,160,2172.78477
577,80,160,2172.826961
578,80,160,2172.868733
579,80,160,2172.910089
580,80,160,2172.951033
581,80,160,2172.99157
582,80,160,2173.031704
583,80,160,2173.071438
584,80,160,2173.110777
585,80,160,2173.149724
586,80,160,2173.188284
587,80,160,2173.226461
588,80,160,2173.264257
589,80,160,2173.301677
590,80,160,2173.338725
591,80,160,2173.375405
592,80,160,2173.411719
593,80,160,2173.447672
594,80,160,2173.483268
595,80,160,2173.518509
596,80,160,2173.553399
597,80,160,2173.587943
598,80,160,2173.622142
599,80,160,2173.656002
600,80,160,2173.689524
601,80,160,2173.722713
602,80,160,2173.755572
603,80,160,2173.788103
604,80,160,2173.820311
605,80,160,2173.852199
606,80,160,2173.883769
607,80,160,2173.915025
608,80,160,2173.94597
609,80,160,2173.976607
610,80,160,2174.00694
611,80,160,2174.03697
612,80,160,2174.066702
613,80,160,2174.096138
614,80,160,2174.125281
615,80,160,2174.154134
616,80,160,2174.1827
617,80,160,2174.210982
618,80,160,2174.238982
619,80,160,2174.266703
620,80,160,2174.294149
621,80,160,2174.321322
622,80,160,2174.348224
623,80,160,2174.374859
624,80,160,2174.401229
625,80,160,2174.427336
626,80,160,2174.453184
627,80,160,2174.478774
628,80,160,2174.50411
629,80,160,2174.529193
630,80,160,2174.554027
631,80,160,2174.578614
632,80,160,2174.602957
633,80,160,2174.627057
634,80,160,2174.650917
635,80,160,2174.67454
636,80,160,2174.697928
637,80,160,2174.721083
638,80,160,2174.744007
639,80,160,2174.766704
640,80,160,2174.789175
641,80,160,2174.811422
642,80,160,2174.833448
643,80,160,2174.855254
644,80,160,2174.876844
645,80,160,2174.898219
646,80,160,2174.919381
647,80,160,2174.940333
648,80,160,2174.961076
649,80,160,2174.981612
650,80,160,2175.001945
651,80,160,2175.022075
652,80,160,2175.042005
653,80,160,2175.061736
654,80,160,2175.081271
655,80,160,2175.100612
656,80,160,2175.11976
657,80,160,2175.138718
658,80,160,2175.157487
659,80,160,2175.17607
660,80,160,2175.194467
661,80,160,2175.212682
662,80,160,2175.230715
663,80,160,2175.248569
664,80,160,2175.266245
665,80,160,2175.283745
666,80,160,2175.301071
667,80,160,2175.318225
668,80,160,2175.335208
669,80,160,2175.352022
670,80,160,2175.368669
671,80,160,2175.38515
672,80,160,2175.401467
673,80,160,2175.417622
674,80,160,2175.433616
675,80,160,2175.44945
676,80,160,2175.465128
677,80,160,2175.480649
678,80,160,2175.496016
679,80,160,2175.51123
680,80,160,2175.526293
681,80,160,2175.541205
682,80,160,2175.55597
683,80,160,2175.570587
684,80,160,2175.585059
685,80,160,2175.599387
686,80,160,2175.613572
687,80,160,2175.627617
688,80,160,2175.641521
689,80,160,2175.655287
690,80,160,2175.668917
691,80,160,2175.68241
692,80,160,2175.69577
693,80,160,2175.708996
694,80,160,2175.722091
695,80,160,2175.735055
696,80,160,2175.747891
697,80,160,2175.760599
698,80,160,2175.77318
699,80,160,2175.785636
700,80,160,2175.797968
701,80,160,2175.810178
702,80,160,2175.822266
703,80,160,2175.834234
704,80,160,2175.846082
705,80,160,2175.857813
706,80,160,2175.869427
707,80,160,2175.880925
708,80,160,2175.89231
709,80,160,2175.90358
710,80,160,2175.914739
711,80,160,2175.925787
712,80,160,2175.936724
713,80,160,2175.947553
714,80,160,2175.958274
715,80,160,2175.968889
716,80,160,2175.979397
717,80,160,2175.989802
718,80,160,2176.000102
719,80,160,2176.010301
720,80,160,2176.020397
721,80,160,2176.030394
722,80,160,2176.040291
723,80,160,2176.050089
724,80,160,2176.05979
725,80,160,2176.069394
726,80,160,2176.078903
727,80,160,2176.088317
728,80,160,2176.097638
729,80,160,2176.106865
730,80,160,2176.116001
731,80,160,2176.125046
732,80,160,2176.134001
733,80,160,2176.142867
734,80,160,2176.151645
735,80,160,2176.160335
736,80,160,2176.168939
737,80,160,2176.177457
738,80,160,2176.185891
739,80,160,2176.194241
740,80,160,2176.202507
741,80,160,2176.210691
742,80,160,2176.218794
743,80,160,2176.226816
744,80,160,2176.234759
745,80,160,2176.242622
746,80,160,2176.250407
747,80,160,2176.258115
748,80,160,2176.265746
749,80,160,2176.273301
750,80,160,2176.280781
751,80,160,2176.288186
752,80,160,2176.295518
753,80,160,2176.302777
754,80,160,2176.309963
755,80,160,2176.317079
756,80,160,2176.324123
757,80,160,2176.331097
758,80,160,2176.338002
759,80,160,2176.344838
760,80,160,2176.351606
761,80,160,2176.358307
762,80,160,2176.364941
763,80,160,2176.371509
764,80,160,2176.378011
765,80,160,2176.384449
766,80,160,2176.390823
767,80,160,2176.397134
768,80,160,2176.403381
769,80,160,2176.409567
770,80,160,2176.415691
771,80,160,2176.421754
772,80,160,2176.427757
773,80,160,2176.4337
774,80,160,2176.439584
775,80,160,2176.445409
776,80,160,2176.451176
777,80,160,2176.456886
778,80,160,2176.46254
779,80,160,2176.468136
780,80,160,2176.473678
781,80,160,2176.479164
782,80,160,2176.484595
783,80,160,2176.489973
784,80,160,2176.495297
785,80,160,2176.500568
786,80,160,2176.505786
787,80,160,2176.510953
788,80,160,2176.516068
789,80,160,2176.521132
790,80,160,2176.526146
791,80,160,2176.53111
792,80,160,2176.536025
793,80,160,2176.54089
794,80,160,2176.545708
795,80,160,2176.550477
796,80,160,2176.555199
797,80,160,2176.559874
798,80,160,2176.564502
799,80,160,2176.569085
800,80,160,2176.573622
801,80,160,2176.578113
802,80,160,2176.58256
803,80,160,2176.586963
804,80,160,2176.591322
805,80,160,2176.595637
806,80,160,2176.59991
807,80,160,2176.60414
808,80,160,2176.608328
809,80,160,2176.612474
810,80,160,2176.616579
811,80,160,2176.620643
812,80,160,2176.624667
813,80,160,2176.628651
814,80,160,2176.632595
815,80,160,2176.6365
816,80,160,2176.640366
817,80,160,2176.644193
818,80,160,2176.647983
819,80,160,2176.651734
820,80,160,2176.655449
821,80,160,2176.659126
822,80,160,2176.662767
823,80,160,2176.666372
824,80,160,2176.66994
825,80,160,2176.673474
826,80,160,2176.676972
827,80,160,2176.680435
828,80,160,2176.683864
829,80,160,2176.687258
830,80,160,2176.690619
831,80,160,2176.693947
832,80,160,2176.697241
833,80,160,2176.700503
834,80,160,2176.703732
835,80,160,2176.706929
836,80,160,2176.710094
837,80,160,2176.713228
838,80,160,2176.71633
839,80,160,2176.719402
840,80,160,2176.722443
841,80,160,2176.725454
842,80,160,2176.728435
843,80,160,2176.731386
844,80,160,2176.734308
845,80,160,2176.737201
846,80,160,2176.740065
847,80,160,2176.7429
848,80,160,2176.745707
849,80,160,2176.748487
850,80,160,2176.751238
851,80,160,2176.753963
852,80,160,2176.75666
853,80,160,2176.75933
854,80,160,2176.761974
855,80,160,2176.764592
856,80,160,2176.767183
857,80,160,2176.769749
858,80,160,2176.772289
859,80,160,2176.774804
860,80,160,2176.777293
861,80,160,2176.779759
862,80,160,2176.782199
863,80,160,2176.784615
864,80,160,2176.787007
865,80,160,2176.789376
866,80,160,2176.791721
867,80,160,2176.794042
868,80,160,2176.796341
869,80,160,2176.798616
870,80,160,2176.800869
871,80,160,2176.8031
872,80,160,2176.805308
873,80,160,2176.807494
874,80,160,2176.809659
875,80,160,2176.811802
876,80,160,2176.813923
877,80,160,2176.816024
878,80,160,2176.818104
879,80,160,2176.820163
880,80,160,2176.822201
881,80,160,2176.824219
882,80,160,2176.826217
883,80,160,2176.828196
884,80,160,2176.830154
885,80,160,2176.832093
886,80,160,2176.834013
887,80,160,2176.835914
888,80,160,2176.837796
889,80,160,2176.839659
890,80,160,2176.841503
891,80,160,2176.843329
892,80,160,2176.845137
893,80,160,2176.846927
894,80,160,2176.8487
895,80,160,2176.850454
896,80,160,2176.852191
897,80,160,2176.853911
898,80,160,2176.855614
899,80,160,2176.857299
900,80,160,2176.858968
901,80,160,2176.860621
902,80,160,2176.862257
903,80,160,2176.863876
904,80,160,2176.86548
905,80,160,2176.867068
906,80,160,2176.868639
907,80,160,2176.870195
908,80,160,2176.871736
909,80,160,2176.873261
910,80,160,2176.874772
911,80,160,2176.876267
912,80,160,2176.877747
913,80,160,2176.879213
914,80,160,2176.880663
915,80,160,2176.8821
916,80,160,2176.883522
917,80,160,2176.88493
918,80,160,2176.886324
919,80,160,2176.887705
920,80,160,2176.889071
921,80,160,2176.890424
922,80,160,2176.891763
923,80,160,2176.893089
924,80,160,2176.894402
925,80,160,2176.895702
926,80,160,2176.896989
927,80,160,2176.898263
928,80,160,2176.899524
929,80,160,2176.900773
930,80,160,2176.90201
931,80,160,2176.903234
932,80,160,2176.904446
933,80,160,2176.905645
934,80,160,2176.906833
935,80,160,2176.908009
936,80,160,2176.909174
937,80,160,2176.910327
938,80,160,2176.911468
939,80,160,2176.912598
940,80,160,2176.913717
941,80,160,2176.914824
942,80,160,2176.915921
943,80,160,2176.917007
944,80,160,2176.918082
945,80,160,2176.919146
946,80,160,2176.920199
947,80,160,2176.921243
948,80,160,2176.922275
949,80,160,2176.923298
950,80,160,2176.92431
951,80,160,2176.925312
952,80,160,2176.926304
953,80,160,2176.927287
954,80,160,2176.928259
955,80,160,2176.929222
956,80,160,2176.930176
957,80,160,2176.93112
958,80,160,2176.932054
959,80,160,2176.932979
960,80,160,2176.933895
961,80,160,2176.934802
962,80,160,2176.9357
963,80,160,2176.936589
964,80,160,2176.937469
965,80,160,2176.93834
966,80,160,2176.939203
967,80,160,2176.940057
968,80,160,2176.940902
969,80,160,2176.941739
970,80,160,2176.942568
971,80,160,2176.943389
972,80,160,2176.944201
973,80,160,2176.945005
974,80,160,2176.945802
975,80,160,2176.94659
976,80,160,2176.947371
977,80,160,2176.948143
978,80,160,2176.948908
979,80,160,2176.949666
980,80,160,2176.950416
981,80,160,2176.951158
982,80,160,2176.951893
983,80,160,2176.952621
984,80,160,2176.953342
985,80,160,2176.954055
986,80,160,2176.954761
987,80,160,2176.95546
988,80,160,2176.956153
989,80,160,2176.956838
990,80,160,2176.957517
991,80,160,2176.958188
992,80,160,2176.958854
993,80,160,2176.959512
994,80,160,2176.960164
995,80,160,2176.960809
996,80,160,2176.961448
997,80,160,2176.962081
998,80,160,2176.962708
999,80,160,2176.963328
